日期,输出结果,日期2,星期几,值班人员
20190917,0,2019/9/17,星期二,赵一
20190918,0,2019/9/18,星期三,钱二
20190919,0,2019/9/19,星期四,孙三
20190920,0,2019/9/20,星期五,张三
20190921,3,2019/9/21,星期六,Tom
20190922,3,2019/9/22,星期日,Jerry
20190923,0,2019/9/23,星期一,李四
20190924,0,2019/9/24,星期二,王五
20190925,0,2019/9/25,星期三,马六
20190926,0,2019/9/26,星期四,赵一
20190927,0,2019/9/27,星期五,钱二
20190928,3,2019/9/28,星期六,Leo
20190929,2,2019/9/29,星期日,孙三
20190930,0,2019/9/30,星期一,张三
20191001,1,2019/10/1,星期二,Lily
20191002,1,2019/10/2,星期三,John
20191003,1,2019/10/3,星期四,Tom
20191004,1,2019/10/4,星期五,Jerry
20191005,1,2019/10/5,星期六,Leo
20191006,1,2019/10/6,星期日,Lily
20191007,1,2019/10/7,星期一,John
20191008,0,2019/10/8,星期二,李四
20191009,0,2019/10/9,星期三,王五
20191010,0,2019/10/10,星期四,马六
20191011,0,2019/10/11,星期五,赵一
20191012,2,2019/10/12,星期六,钱二
20191013,3,2019/10/13,星期日,Tom
20191014,0,2019/10/14,星期一,孙三
20191015,0,2019/10/15,星期二,张三
20191016,0,2019/10/16,星期三,李四
20191017,0,2019/10/17,星期四,王五
20191018,0,2019/10/18,星期五,马六
20191019,3,2019/10/19,星期六,Jerry
20191020,3,2019/10/20,星期日,Leo
20191021,0,2019/10/21,星期一,赵一
20191022,0,2019/10/22,星期二,钱二
20191023,0,2019/10/23,星期三,孙三
20191024,0,2019/10/24,星期四,张三
20191025,0,2019/10/25,星期五,李四
20191026,3,2019/10/26,星期六,Lily
20191027,3,2019/10/27,星期日,John
20191028,0,2019/10/28,星期一,王五
20191029,0,2019/10/29,星期二,马六
20191030,0,2019/10/30,星期三,赵一
20191031,0,2019/10/31,星期四,钱二
20191101,0,2019/11/1,星期五,孙三
20191102,3,2019/11/2,星期六,Tom
20191103,3,2019/11/3,星期日,Jerry
20191104,0,2019/11/4,星期一,张三
20191105,0,2019/11/5,星期二,李四
20191106,0,2019/11/6,星期三,王五
20191107,0,2019/11/7,星期四,马六
20191108,0,2019/11/8,星期五,赵一
20191109,3,2019/11/9,星期六,Leo
20191110,3,2019/11/10,星期日,Lily
20191111,0,2019/11/11,星期一,钱二
20191112,0,2019/11/12,星期二,孙三
20191113,0,2019/11/13,星期三,张三
20191114,0,2019/11/14,星期四,李四
20191115,0,2019/11/15,星期五,王五
20191116,3,2019/11/16,星期六,John
20191117,3,2019/11/17,星期日,Tom
20191118,0,2019/11/18,星期一,马六
20191119,0,2019/11/19,星期二,赵一
20191120,0,2019/11/20,星期三,钱二
20191121,0,2019/11/21,星期四,孙三
20191122,0,2019/11/22,星期五,张三
20191123,3,2019/11/23,星期六,Jerry
20191124,3,2019/11/24,星期日,Leo
20191125,0,2019/11/25,星期一,李四
20191126,0,2019/11/26,星期二,王五
20191127,0,2019/11/27,星期三,马六
20191128,0,2019/11/28,星期四,赵一
20191129,0,2019/11/29,星期五,钱二
20191130,3,2019/11/30,星期六,Lily
20191201,3,2019/12/1,星期日,John
20191202,0,2019/12/2,星期一,孙三
20191203,0,2019/12/3,星期二,张三
20191204,0,2019/12/4,星期三,李四
20191205,0,2019/12/5,星期四,王五
20191206,0,2019/12/6,星期五,马六
20191207,3,2019/12/7,星期六,Tom
20191208,3,2019/12/8,星期日,Jerry
20191209,0,2019/12/9,星期一,赵一
20191210,0,2019/12/10,星期二,钱二
20191211,0,2019/12/11,星期三,孙三
20191212,0,2019/12/12,星期四,张三
20191213,0,2019/12/13,星期五,李四
20191214,3,2019/12/14,星期六,Leo
20191215,3,2019/12/15,星期日,Lily
20191216,0,2019/12/16,星期一,王五
20191217,0,2019/12/17,星期二,马六
20191218,0,2019/12/18,星期三,赵一
20191219,0,2019/12/19,星期四,钱二
20191220,0,2019/12/20,星期五,孙三
20191221,3,2019/12/21,星期六,John
20191222,3,2019/12/22,星期日,Tom
20191223,0,2019/12/23,星期一,张三
20191224,0,2019/12/24,星期二,李四
20191225,0,2019/12/25,星期三,王五
20191226,0,2019/12/26,星期四,马六
20191227,0,2019/12/27,星期五,赵一
20191228,3,2019/12/28,星期六,Jerry
20191229,3,2019/12/29,星期日,Leo
20191230,0,2019/12/30,星期一,钱二
20191231,0,2019/12/31,星期二,孙三
